specification,model,n_folds,estimate,std_err,ci_lower,ci_upper,p_value,n
"Baseline (RF, K=5)",Random Forest,5,0.005894,0.006199,-0.006257,0.018044,0.341747,150000
LASSO (CV),LASSO,5,0.0004202658540898477,0.006381618505819868,-0.012087476580391408,0.012928008288571102,0.9474927226981826,150000
XGBoost,XGBoost,5,0.004165027854898845,0.006453618013515871,-0.00848383102157119,0.01681388673136888,0.5186817779800175,150000
K = 2,Random Forest,2,0.00581957988021236,0.006276960547375299,-0.00648303672502205,0.01812219648544677,0.3538572677865144,150000
K = 10,Random Forest,10,0.005114062759778481,0.0061723153446557365,-0.006983453016970694,0.017211578536527657,0.40735992720403935,150000
Strict D (full only),Random Forest,5,0.05569187718849926,0.02563956993868353,0.005439243529583693,0.10594451084741482,0.029847628854043684,150000
Alt Y (productivity_change),Random Forest,5,2.6987986730131897,0.02941127908443421,2.6411536252684424,2.756443720757937,0.0,150000
